id	tekst
paevaleht19910501.2.11	<p>Rumeenia valitsuses 2 opositsiooni esindajat</p><p>Rumeenia parlament kinnitas eile üheksa riigi uue valitsuse 11-st liikmest. Mõlemad kojad kiitsid heaks esimesed kaks opositsiooni esitatud kandidaati. Liberaalidega liitunud Mihnea Marmeliuc asub töö ja sotsiaalse kaitse ministri ametikohale ning Valeriu Pescaru Demokraatlikust Agraarparteist hakkab juhtima põllumajanduse erastamist. Opositsioonis olevad Liberaalid nimetasid oma avalduses muudatusi üksnes kosmeetiliseks ja kinnitasid, et need ei muuda valitsuse ja opositsiooni praegusi suhteid, teatab Reuter— ETA.</p>
paevaleht19910501.2.12	<p>Islandil uus valitsus</p><p>Eile hilisõhtul tulnud teate kohaselt moodustati Islandil uus valitsus. Peaministriks sai konservatiivse Iseseisvuspartci juht David Oddson. Valitsus moodustati Iseseisvuspartci ja Sotsiaaldemokraatliku Partei baasil.</p>
paevaleht19910501.2.13	<p>Jazov mai alguses Hiinas</p><p>Mai alguses suundub N. Liidu kaitseminister Dmitri Jazov ametlikule visiidile Hiinasse, teatab Reuter ETA vahendusel. Kutse sai Jazov oma Hiina ametivennalt kindralpolkovnik Qin Jiweilt. Esmaspäeval sõlmisid N. Liitja Hiina kokkuleppe vägede piiramise kohta piirialadel, mis oli kahe riigi suhetes seni kõige valutckitavam punkt.</p>
paevaleht19910501.2.14	<p>Alžeeria rahuotstarbeline reaktor</p><p>Alžccria valitsuse esindaja tunnistas, et Hiina aitab tõepoolest Alžccrial tuumareaktorit ehitada. Reaktor polevat aga vähimalgi määral seotud sõjatehnikaga. Ühtlasi on Alžeeria valmis vastu võtma rahvusvahelist inspektsiooni, kes reaktori üle vaataks ja selle rahuotstarbclisuscs veenduks. Ka Hiina on kinnitanud, et reaktorit ci saa kasutada relvastuse täiustamiseks.</p>
paevaleht19910501.2.15	<p>Moskvas valgusahel sõjaohvrite mälestuseks</p><p>8. mail saab Moskvast lüli ülemaailmses sümboolses valgusahclas, teatab RIA ETA vahendusel. Manceži väljakul toimub miiting, millest osavõtjad süütavad küünlad sõjakonfliklidcs hukkunute mälestuseks. Aktsiooni korraldab sõjaohvrite kaitsmise ülemaailmse kampaania raames rahvusvaheline punase risti ja punase poolkuu liikumine deviisi all """"Hajutada pimedus!” Liikumise andmetel on praegu sõjaliste kokkupõrgete ohvritest 90 protsenti tsiviilisikud. Pärast Teist maailmasõda on relvakonfliktide tagajärjel maailma eri piirkondades hukkunud rohkem kui 60 miljonit rahulikku elanikku.</p>
paevaleht19910501.2.16	<p>Mitte ainult ühislaulupeo najal ei seisa """"Laulusillad"""" püsti</p><p>1.-7. juulini toimuv festival """"Laulusillad"""" koosneb n.-ö. kolmest osast: oratooriumide ja kantaatide nädalast (1.-7. juuli), rahvusvahelisest majanduskonverentsist """"Easl-Wcsi Ecomomic Relations Ida-Lääne majandussuhted"""" (5.-7. juuli) ning suurest laulupeost 7. juulil. Eilsel briifingul jagasid teavet a/s """"Laulusillad"""" tegevdirektor Rein Lang ning Tõnu Kaljuste. L-7. juulini annavad Tallinna kirikutes ja kontserdisaalides</p><p>kontserte mitmed maailma tippkoorid nimetagem siinkohal vaid eesti lugejaile """"eksootilisemaid"""" nimesid nagu """"Pacific Chorale"""", """"Star Scape Singers"""". Tõnu Kaljuste kiitis Läti ja Leedu kooride ettevalmistust. Rahvusvahelisele majanduskonvercntsilc oodatakse prominentseid külalisi ja kõnelejaid. Siinkohal vajab täpsustust Ba//zc News Service’ i teade Eduard Šcvardnadze osalemisest """"Laulusildadcl"""". EV Ülemnõukogu väliskomisjoni esimehe Indrek Toome, """"Laulusildade"""" majanduskonverentsi korraldava toimkonna esimehe, Eesti-Ameerika Kaubanduskoja direktori Peeter Pahkla ja """"Laulusildade"""" konsultandi TÜ õppejõu Toivo</p><p>Kuldsepa kohtumisel Eduard Sevardnadzega korrati E. Ševardnadzcle kutset osaleda """"Laulusildadcl"""", mille viimane hea meelega vastu võttis. A/s """"Laulusillad"""", kes on E. šcvardnadzc vastuvõtmiseks asunud ettevalmistusi tegema, rõhutab aga, et nemad ci korralda """"Laulusildade"""" raames poliitilist dialoogi, sest """"Laulusillad"""" on mittepoliitiline organisatsioon. """"Laulusildade"""" raames on E. Šcvardnadzc andnud nõusoleku esineda ettekandega Ida-Lää-ne majanduskonvcrcntsil. """"Meie põhiline eesmärk on kultuur ja ettevõtlus kokku viia ning ühe või teisega tegelevad inimesed ühe laua ümber istuma panna,"""" ütles Rein Lang eilsel</p><p>briifingul. Tõnu Kaljuste lisas,et tema jaoks on see huvitav ning meeldiv kogemus.</p><p>Mari Karlson</p>
paevaleht19910501.2.17	<p>Tallinnas käis Europarlamendi liberaaldemokraatide ja reformistide delegatsioon</p><p>""""õppida tundma olukorda ja probleemide olemust kohapeal, et meie abi oleks konkreetsem,"""" ütles Ballikumi-sõidu eesmärki sõnastades Europarlamendi libcraaldemokraalidc ja reformistide delegatsiooni liige P. Cox vastuvõtul Eesti Vabariigi Ülemnõukogu esimehe Arnold Rüütli juures. Delcgatsi.oon saabus Tallinna eile ning kohtus Eesli valitsuse juhi Edgar Sav nsaare, riigiministri Raivo Vare, välisministri asetäitja Enn Liimotsa, Liberaaldemokraatliku Partei ja Eesti Komitee juhtide ning keskkonnakaitse spetsialistidega. Eesti Vabariigi Ülemnõukogu väliskomisjon korraldas külaliste auks õhtu söögi. Jutuajamisel puudutati Eesti poliitilise ja majandusliku olukorra crincvaidl aspekte. Europarlamendi liikmeid huvitasid eriti inimõiguste probleemid. Nad teatasid oma valmisolekust toetada Balli Riikide Nõukogu algatust korraldada konverents Balti küsimuses. Selle algatuse arutamisel toonitas Arnold Rüütel, et Eesti ci esita N. Liid ule mingeid arveid. Ta ci taotle kohtupidamist isegi nende üle, kel Ic käed jäid verega määrituks küüditamisel ja muude kuritegude toimepanemisel Eeslis. Ta tahab vaid nende tegude kuri tahtlikkuse tunnistamist. Eesti Vabariigi iseseisvuse lunnustamistN. Liidu poolt ja sealjuures loobumist igasuguste arvele esitamisest Eeslile. Siin võib kaaluka sõna öelda rahvusvaheline üldsus. Täna sõidavad Europarlamendi liikmed Riiga. LEIVI ŠER EV Ülemnõukogu esimehe pressiteenistus ETA</p>
paevaleht19910501.2.18	<p>Jüri Raidla külastab Rootsi kohtuministrit</p><p>Eesti vabariigi justiitsminister Jüri Raidla külastab 1.-4. maini Stockholmi. Küllakutse on saatnud Rootsi läti päritolu kohtuminister Laila Freivalds. Raidla tutvub Rootsi riigikorraldusega, seadusandlusega, kohtukorraldusega, teatab TT ETA vahendusel. Kavas on kohtumine Rootsi kaubanduskojas, kus töötab ärimaailmes tuntud arbitraažispctsialislc, samuti külaskäik Stockholmi Rackoja aiamkohtusse.</p>
paevaleht19910501.2.19	<p>Narvas loodi aktsiaselts hotelliehituse lõpetamiseks</p><p>Eile oli Narva linnapea Vladimir Mižui juures löövisiidil koondis&lt;.“. """"Eesti Turist"""" peadirektorTarmo Tõeleid. Arutati möödunud aast'Al alustatud hotelli ehituse lõpetamist. Planeeritud 2 miljoni asemel arvestatakse praegu töö maksumuseks 8 miljonit rubla. """"Eesli Turist"""" ja Narva Linna Täitevkomitee otsustasid luua aktsiaseltsi, kuhu kavatsetakse kaasa tõmmata ka Narva rikkamad ettevõtted. Kreenholmi linnaossa ehitatav """"Joala"""" koos teeninduskompleksiga peab valmima 1992. aasta lõpuks ja hakkama teenindama ka välisturiste.</p><p>Jaano-Martin Ots</p><p>(ETA)</p>
paevaleht19910501.2.20	<p>Narva VMP töörühma liikmed kohtusid mõttekaaslastega</p><p>Eelmise nädala lõpul toimus Leningradis üleliiduline seminar vabamajanduspiirkondade (VMP) kohta. Kohal olid N. Liidu potentsiaalsete VMP-dc esindajad (Sahhalin, Kaliningrad, Viiburi jt.), õpetust jagasid Lääne majandusspetsialistid. Räägiti, millised õiguslikud ja majanduslikud tagatised meelitaksid Lääne ärimehi oma kapitali N. Liidu VMP-desse paigutama. Seminar võttis vastu pöördumise N. Liidu ja vabariikide ülemnõukogude poole, milles nõutakse VMP-dcle suuremat tähelepanu ja soovitatakse seadused nende kohta välja töötada. Narvast käisid seminaril Narva VMP töörühma liikmed eesotsas linnapea Vladimir Mižuiga.Mižui majandusnõunik Raissa Lihhusa andmetel on Narvat valmis aitama Taivani valitsuse juures tegutsev Arengumaade Abistamise Fond, kes on nõus Narva paigutama 5-15 miljonit dollarit. Garantiiks olevat vaja Eesti Vabariigi Ülemnõukogu otsust vabamajanduspiirkonna kohta. Ülemnõukogus, jutuks olnud 667 miljonist DM laenamise plaanist ci teadnud Narva linnapea majandusnõunik midagi.</p><p>Jaano-Martin Ots</p><p>(ETA)</p>
paevaleht19910501.2.21	<p>Eesti Panga noteering valuuta ost-müügiks elanikkonnalt</p><p>Riik Rahaühik Tähis Ostuhind rbl.Müügihind rbl.% Austraalia Dollar (AUD) 23.91 25.58 Austria Shilling (ATS) 2.48 2.65 Belgia Frank (BEC) &gt; 0,843 0,902 1 lolland Kulden NLG' ) 15.35 16.42 Itaalia Liir (ITL) 0,0234 0,0250 Jaapan Jeen (JPY) 0)222 0,238 Kanada Dollar (CAD ) 26,67 28.54 Norra Kroon (NOK ) 4.45 4.76 Prantsusmaa Frank (FRF) 5,17 5.53 Rootsi Kroon SEK) 4.87 5.21 +2,1 Saksamaa Mark (DEM) 17.38 18.60 + 1,9' Soome Mark (FIM) 7.46 7.98 +2,2 Suurbritannia Nael GBP) 51.29 54.88 + 1,1 Šveits Frank (CHF) 20.74 22.19 Taani Kroon (DKK ) 4.52 4.84 USA Dollar (USD) i 30.77 32.93 + 10,6</p>
paevaleht19910501.2.22	<p>Riik on meile kõigile võlgu!</p><p>Tegutsedes põhimõttel jaga ja valitse, on meie valitsusel ja ülemnõukogul ön- •' nestunud Eesti elanikud kaheks . vaenulikuks leeriks jagada. Ühed, kes elavad nn. riigikorte- ’ * rites ja teised, kes elavad kooperatiivkorterites või eramajades. LJ Seda tõestab ilmekalt vastukaja- . . dc hulk """"Päevalehes"""", kus arvustatakse teravalt 27. veebruaril k.a. ilmunud kirjutist korterite ■ ■ müügi lubamatuse kohta. , , .Esmapilgul, emotsioonide ta- * 'sandil võib ju tõesti tunduda, et &lt;"""" ühed said oma korteri tasuta (eks ’ hilistulijad, suure naaberriigi ko- \ danikud selle saidki). Teised • maksid oma kõhu kõrvalt kinni J kooperatiivkorterid ja ehitasid ■ une arvelt maju. Ei ehituskrunti ega kooperatiivkorterit saadud ilma tutvusi ja mõjukaid sidemeid kasutamata. Ehitusmaterjalid olid väga odavad, tihti aitas oluliselt töökoht või ametiseisund. Ecsli- ■ maal on väga palju päris """"tihkeid ’ eramuid, lausa losse, niida palgarahaga poleks saanud ehitada. Kuid küsimus ei ole üldse selles. ; A Küsimus on tööpanuses nõukogude võimu 50 aasta jooksul. Nüüd tunnistavad ju kõik, et see, mis on loodud 50 nõukogude aasta jooksul, on Eestimaa rahva ühistöö. Järelikult on see varandus tema loonud inimeste tööpanuste summa. Kuidas leida tööpanust? Kui demokraatlikus lääJ nes saab palgatööline palgana kätte 70-80% oma tööga loodud [ väärtusest, siis meil mitte üle 20i' 25%. Vahe on kolmekordne. Kui mina olen oma 38-aastaše tööaja vältel saanud keskmiselt 200 rubla kuus, siis on riik mulle iga kuu jätnud maksmata 400 rubla, aastas jäi saamata 4800 rbl. 38 , aasta jooksul on riik minu käest vägivaldselt omastanud 182 000 rubla ehk ekvivalendina ~18 3-toalise korteri maksumust. . Q9£9.aastahindadcs,miskchti- ■ šid kuni 1984. aastani, maksis J kolfnest väikesest bctoonkarbist koosnev korter umbes 10 000 rubla.) Arvestades veel ka rninu abikaasa tööpanust, mis on riigi poolt vägivaldselt ära võetud, saame lisaks 153 000 rubla ehk 15 3-toalise korteri maksumust. Niisiis on riik meie perekonnalt omavolilisel t sisse kasseerinud 33 korteri maksumuse, """"andnud"""" aga ainult ühe! Riikcn ; meile võlgu veel 32 3-toalist korterit. Kuhu see raha on läinud? Ta on kadunud tankidesse ja rakettidesse, on põlenud ära aatomikateldcs tuumakütuse valmistamiseks, on läinud maailmarevolutsiooni finantseerimiseks. Kuid sellega on ehitatud ka kõik</p><p>korterid, kõik tehased (ka ehitusmaterjalide te hased, mis tootsid odavat materjali ka eramajade ja kooperatiivkorterite ehitamiseks). Samuti koolid, kauplused ja haiglad. Maksti palka sotsiaalsfä äri töötajatele (ehkki vähevõitu) jne. jne. Kuid oma korteri olen ma mitmeküm nekcrdselt riigile ära tasunud. Riigil, ei endisel ega nüüdst :1, ei saa olla mitte mingeid õi; »usi minu korterile! Vaad ates asja kooperatiivkorteri jae: ramajade valdajate seisukohalt, võiks jällegi teha igaühe kohta r ende konkreetse tööpanuse ar mtuse. Võiks leida, mitme kõrt eri võrra on neid röövitud, seej uures ühtegi tagasi andmata! R iik on neile võlgu. Seesama Eb 1S V, aga mitte mina, nn. riigikorti *.ri elanik. Ja kelle ees on riik suure m võlglane, selgub tööpanuste võrdlemisel 50 aasta jooksul. Kui minu (koos perekonnaga) tööpanus on suurem kui mõni 51 kooperatiivkorteri omanikul, siis on Nõukogude riik minule suurem võlglane kui temale! Rääkida ahnusest ja saamahimust on üli mait kohatu. Riik on meile kõigi.le võlgu, väga palju võlgu. Kõik:, kes on elanud ja töötanud 50 nõukogude aastat, on kaotajad. Ahned on aga meie praegused valitsejad, kes tahavad meile m üüa meie endi varandust Kas korter ikka on praegu kaup? Ei, praegu ta ci ole ega saagi olla kaup». Korter võib saada kaubaks ja omandada turuhinna alles siis, kui on kinnistatud kõigi korterivaldajate omandiõigused (anniilccritud ka kooperatiivkorterite võlasummad) ja inimesed või vad korteritega oma äranägemist; järgi talitada: osta, müüa, kinki da, vahetada ja seda turumajanduse seaduste alusel. Minu osaku ai~vutus kutsub kindlasti esile vaid lüsi kuidas arvestada näiteks sotsiaalsfääri töötajate väikesepalgalist panust; veel kuidas pttrtei- ja riigiaparaadi töötajate oma jne. Võiks ju kasutada koefitsienti näiteks millises suhtes on kas või Soomes juhtiva inseneri ja meditsiinitöötaja palgad jne. Ühes olen aga kindlalt veendunud: oma korteri olen (ja on valdav enamik nn. riigikorteritc omanikest) ammuilma oma tööpanusega välja teeninud. Teist e arvelt ci ole minu korterit ehitatud ega ka ekspluateeritud. Mina ei ole kellelegi võlgu. Ma ei ole ka ahne ega saamahimuline. Ma tahan ainult elementaarset õiglust.</p><p>Kalle Aamisepp</p>
